"_id","_class","bizDomainIds","createTime","identityId","ip","owners","platformDomainId","principal","result","state","subjectId","updateTime","username","version"
"65fd489d2225bb3fc3d82db8","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711098013169","1220628912338374656","219.144.137.117","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220628912241905664","1711098013169","happy","1"
"661c95f2e45c004fa3cc9ff1","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713149426997","1229262534758895616","202.100.35.152","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1229262534658232320","1713149426997","jackychao","1"
"661c95f9e45c004fa3cc9ff2","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1713149433431","1229262534758895616","202.100.35.152","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1229262534658232320","1713149433431","jackychao","1"
"65fd1f422225bb3fc3d82da1","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711087426141","153","185.212.61.32","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","50","1711087426141","jiekechao","1"
"65fd243c2225bb3fc3d82da4","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711088700919","140","113.132.11.10","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","47","1711088700919","saf","1"
"65fd25092225bb3fc3d82da5","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711088905277","140","113.132.11.10","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","47","1711088905277","saf","1"
"65fd25e12225bb3fc3d82da6","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711089121352","324","43.252.115.14","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","107","1711089121352","Anzir_Test1","1"
"65fd300e2225bb3fc3d82dac","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711091726216","1220628912346763264","144.34.168.162","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220628912241905664","1711091726216","happy","1"
"65fd309a2225bb3fc3d82dad","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711091866417","1220628912338374656","113.132.11.10","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220628912241905664","1711091866417","happy","1"
"65fd30d32225bb3fc3d82dae","com.anzir.uc.service.provider.domain.auth.repo.AuthLogEntity","[ ]","1711091923333","1220628912346763264","144.34.168.162","[ ""0"" ]","SYD-AUS",,"SUCCESS","0","1220628912241905664","1711091923333","happy","1"
